country_code,country_name,geo_type,destination,link
ID,Indonesia,province_state,Bali,https://luxuryescapes.com/search?destinationName=Bali&destinationId=le_64930b7151b6bc3e289f37d5da62ac9f&adults=2&children=none&pages=2
TH,Thailand,country,Thailand,https://luxuryescapes.com/search?destinationName=Thailand&destinationId=le_8f85517967795eeef66c225f7883bdcb&adults=2&children=none&pages=2
AU,Australia,province_state,Queensland,https://luxuryescapes.com/search?destinationName=Queensland&destinationId=le_3d3621cee6f49e93a34f3f0f654ab41a&adults=2&children=none&pages=2
VN,Vietnam,country,Vietnam,https://luxuryescapes.com/search?destinationName=Vietnam&destinationId=le_a597e50502f5ff68e3e25b9114205d4a&adults=2&children=none&pages=2
AU,Australia,multi_city_vicinity,Melbourne,https://luxuryescapes.com/search?destinationName=Melbourne&destinationId=le_15fa44474c92da27cf2125373356db4c&adults=2&children=none&pages=2
AU,Australia,country,Australia,https://luxuryescapes.com/search?destinationName=Australia&destinationId=le_d3d9446802a44259755d38e6d163e820&adults=2&children=none&pages=2
TH,Thailand,province_state,Phuket,https://luxuryescapes.com/search?destinationName=Phuket&destinationId=le_d47bb339212ddfab0fadd99d492a5fc3&adults=2&children=none&pages=2
AU,Australia,multi_city_vicinity,Sydney,https://luxuryescapes.com/search?destinationName=Sydney&destinationId=le_678c61ac5b4f91ca86e112fc50e63766&adults=2&children=none&pages=2
SG,Singapore,country,Singapore,https://luxuryescapes.com/search?destinationName=Singapore&destinationId=le_bd4c9ab730f5513206b999ec0d90d1fb&adults=2&children=none&pages=2
AU,Australia,city,Gold Coast,https://luxuryescapes.com/search?destinationName=Gold+Coast&destinationId=le_bac732346917b0a1231354ef55faf00a&adults=2&children=none&pages=2
AU,Australia,province_state,New South Wales,https://luxuryescapes.com/search?destinationName=New+South+Wales&destinationId=le_8337a7365ec44f3d65434a5ea4d73d17&adults=2&children=none&pages=2
ID,Indonesia,city,Seminyak,https://luxuryescapes.com/search?destinationName=Seminyak&destinationId=le_790d9f1f52e10ef90ede8efcf7f3c078&adults=2&children=none&pages=2
ID,Indonesia,city,Nusa Dua,https://luxuryescapes.com/search?destinationName=Nusa+Dua&destinationId=le_a55472983efa2e239b315de91576d1d3&adults=2&children=none&pages=2
US,United States,province_state,Hawaii,https://luxuryescapes.com/search?destinationName=Hawaii&destinationId=le_979d472a84804b9f647bc185a877a8b5&adults=2&children=none&pages=2
AU,Australia,province_state,Victoria,https://luxuryescapes.com/search?destinationName=Victoria&destinationId=le_5781a2637b476d781eb3134581b32044&adults=2&children=none&pages=2
JP,Japan,country,Japan,https://luxuryescapes.com/search?destinationName=Japan&destinationId=le_7647966b7343c29048673252e490f736&adults=2&children=none&pages=2
TH,Thailand,city,Koh Samui,https://luxuryescapes.com/search?destinationName=Koh+Samui&destinationId=le_7af6d6117d13124fd3e00f5cb5f04400&adults=2&children=none&pages=2
AE,United Arab Emirates,province_state,Dubai,https://luxuryescapes.com/search?destinationName=Dubai&destinationId=le_43baa6762fa81bb43b39c62553b2970d&adults=2&children=none&pages=2
ID,Indonesia,city,Ubud,https://luxuryescapes.com/search?destinationName=Ubud&destinationId=le_7f7ed8ecfca9e17696ff654508efd86a&adults=2&children=none&pages=2
NZ,New Zealand,country,New Zealand,https://luxuryescapes.com/search?destinationName=New+Zealand&destinationId=le_9fc3d7152ba9336a670e36d0ed79bc43&adults=2&children=none&pages=2
AU,Australia,city,Port Douglas,https://luxuryescapes.com/search?destinationName=Port+Douglas&destinationId=le_dc2afc2240bd3cd5067a740a2cb17399&adults=2&children=none&pages=2
AU,Australia,city,Perth,https://luxuryescapes.com/search?destinationName=Perth&destinationId=le_7c27cf9f8fe09724bb754e474610eb0e&adults=2&children=none&pages=2
TH,Thailand,multi_city_vicinity,Bangkok,https://luxuryescapes.com/search?destinationName=Bangkok&destinationId=le_ff7aa1f9b4062bfee0f99a0453506f1b&adults=2&children=none&pages=2
AU,Australia,multi_city_vicinity,Brisbane,https://luxuryescapes.com/search?destinationName=Brisbane&destinationId=le_b96d145f6c31e35755f4a6841574ba37&adults=2&children=none&pages=2
GB,United Kingdom,multi_city_vicinity,London,https://luxuryescapes.com/search?destinationName=London&destinationId=le_66ff0e7c30438d414ff0a941b759f114&adults=2&children=none&pages=2
MY,Malaysia,country,Malaysia,https://luxuryescapes.com/search?destinationName=Malaysia&destinationId=le_a3c65c2974270fd093ee8a9bf8ae7d0b&adults=2&children=none&pages=2
AU,Australia,high_level_region,Hamilton Island,https://luxuryescapes.com/search?destinationName=Hamilton+Island&destinationId=le_3fb451ca2e89b3a13095b059d8705b15&adults=2&children=none&pages=2
AE,United Arab Emirates,multi_city_vicinity,Dubai,https://luxuryescapes.com/search?destinationName=Dubai&destinationId=le_f9736cf40a30e0fe71c53004951da2ed&adults=2&children=none&pages=2
PH,Philippines,country,Philippines,https://luxuryescapes.com/search?destinationName=Philippines&destinationId=le_2b24d495052a8ce66358eb576b8912c8&adults=2&children=none&pages=2
AU,Australia,province_state,Tasmania,https://luxuryescapes.com/search?destinationName=Tasmania&destinationId=le_edd47ba7fa1bbff38973841c9cd0733c&adults=2&children=none&pages=2
IT,Italy,country,Italy,https://luxuryescapes.com/search?destinationName=Italy&destinationId=le_93db85ed909c13838ff95ccfa94cebd9&adults=2&children=none&pages=2
AU,Australia,multi_city_vicinity,Adelaide,https://luxuryescapes.com/search?destinationName=Adelaide&destinationId=le_f4c2c73d7fe5eb38fd83d32a61604247&adults=2&children=none&pages=2
AU,Australia,province_state,Western Australia,https://luxuryescapes.com/search?destinationName=Western+Australia&destinationId=le_82680bfec0fa08346c1b10d30a3e3d4a&adults=2&children=none&pages=2
AU,Australia,province_state,Cairns,https://luxuryescapes.com/search?destinationName=Cairns&destinationId=le_b7218568a1335addb2966d47e1fe939c&adults=2&children=none&pages=2
JP,Japan,multi_city_vicinity,Tokyo,https://luxuryescapes.com/search?destinationName=Tokyo&destinationId=le_1608659ea7ec15440fa87763b3f5d700&adults=2&children=none&pages=2
GB,United Kingdom,country,United Kingdom,https://luxuryescapes.com/search?destinationName=United+Kingdom&destinationId=le_cfecdb276f634854f3ef915e2e980c31&adults=2&children=none&pages=2
NZ,New Zealand,city,Queenstown,https://luxuryescapes.com/search?destinationName=Queenstown&destinationId=le_5a4773830c5a9191a6bd6c301d060ad2&adults=2&children=none&pages=2
TH,Thailand,city,Khao Lak,https://luxuryescapes.com/search?destinationName=Khao+Lak&destinationId=le_f3ad1c493ba61ad63bb43d6947f42d95&adults=2&children=none&pages=2
AU,Australia,high_level_region,Whitsundays,https://luxuryescapes.com/search?destinationName=Whitsundays&destinationId=le_02785edd54b40735ce22cea83094508a&adults=2&children=none&pages=2
FR,France,multi_city_vicinity,Paris,https://luxuryescapes.com/search?destinationName=Paris&destinationId=le_cb3f7087c987ceff5b306d4ff89f5db6&adults=2&children=none&pages=2
AU,Australia,high_level_region,Hunter Valley,https://luxuryescapes.com/search?destinationName=Hunter+Valley&destinationId=le_864d8b8a2daebb7269e0882b0bfb6232&adults=2&children=none&pages=2
US,United States,multi_city_vicinity,New York,https://luxuryescapes.com/search?destinationName=New+York&destinationId=le_1ada7faf229425b786d87f7d9d5d43f2&adults=2&children=none&pages=2
ES,Spain,country,Spain,https://luxuryescapes.com/search?destinationName=Spain&destinationId=le_7e7757b1e12abcb736ab9a754ffb617a&adults=2&children=none&pages=2
ID,Indonesia,city,Sanur,https://luxuryescapes.com/search?destinationName=Sanur&destinationId=le_9061fde6d599f5ffe8612f853db8d1e3&adults=2&children=none&pages=2
AU,Australia,province_state,Noosa,https://luxuryescapes.com/search?destinationName=Noosa&destinationId=le_e14e1364b73cc4878fe29890a4c29b7e&adults=2&children=none&pages=2
AU,Australia,multi_city_vicinity,Canberra,https://luxuryescapes.com/search?destinationName=Canberra&destinationId=le_5f169380fd43eadac8a9f1423aaa9ac8&adults=2&children=none&pages=2
MY,Malaysia,multi_city_vicinity,Kuala Lumpur,https://luxuryescapes.com/search?destinationName=Kuala+Lumpur&destinationId=le_f243f5a39d3b7ef531788ff07ea1ca58&adults=2&children=none&pages=2
ID,Indonesia,colloquial_area,Uluwatu,https://luxuryescapes.com/search?destinationName=Uluwatu&destinationId=le_a9c53c0f1fe23357e3ba6a078ddb0990&adults=2&children=none&pages=2
HK,Hong Kong,country,Hong Kong,https://luxuryescapes.com/search?destinationName=Hong+Kong&destinationId=le_28dd2c7955ce926456240b2ff0100bde&adults=2&children=none&pages=2
IN,India,country,India,https://luxuryescapes.com/search?destinationName=India&destinationId=le_f033ab37c30201f73f142449d037028d&adults=2&children=none&pages=2
ID,Indonesia,country,Indonesia,https://luxuryescapes.com/search?destinationName=Indonesia&destinationId=le_43ec517d68b6edd3015b3edc9a11367b&adults=2&children=none&pages=2
ID,Indonesia,city,Legian,https://luxuryescapes.com/search?destinationName=Legian&destinationId=le_01bdad659f914e3f71ddd761821bd6a9&adults=2&children=none&pages=2
US,United States,country,United States of America,https://luxuryescapes.com/search?destinationName=United+States+of+America&destinationId=le_757b505cfd34c64c85ca5b5690ee5293&adults=2&children=none&pages=2
TH,Thailand,city,Krabi,https://luxuryescapes.com/search?destinationName=Krabi&destinationId=le_b536d75d9b756802546437b33b09b5e8&adults=2&children=none&pages=2
VN,Vietnam,multi_city_vicinity,Da Nang,https://luxuryescapes.com/search?destinationName=Da+Nang&destinationId=le_4311359ed4969e8401880e3c1836fbe1&adults=2&children=none&pages=2
ID,Indonesia,city,Canggu,https://luxuryescapes.com/search?destinationName=Canggu&destinationId=le_425f0cea87a40c5a8860e3db7c918c4e&adults=2&children=none&pages=2
VN,Vietnam,multi_city_vicinity,Ho Chi Minh City,https://luxuryescapes.com/search?destinationName=Ho+Chi+Minh+City&destinationId=le_9eaae23a6eaea01a1d6111023c69f199&adults=2&children=none&pages=2
AU,Australia,city,Hobart,https://luxuryescapes.com/search?destinationName=Hobart&destinationId=le_b573c52d599a979ba8c16e9789bb8014&adults=2&children=none&pages=2
AE,United Arab Emirates,country,United Arab Emirates,https://luxuryescapes.com/search?destinationName=United+Arab+Emirates&destinationId=le_a2557a7b2e94197ff767970b67041697&adults=2&children=none&pages=2
AU,Australia,city,Byron Bay,https://luxuryescapes.com/search?destinationName=Byron+Bay&destinationId=le_3b8592097e6f88f678a8983da586251d&adults=2&children=none&pages=2
VN,Vietnam,city,Hoi An,https://luxuryescapes.com/search?destinationName=Hoi+An&destinationId=le_f6c8eb0a04b4edf33a261d7e3a984bcc&adults=2&children=none&pages=2
AU,Australia,city,Sunshine Coast,https://luxuryescapes.com/search?destinationName=Sunshine+Coast&destinationId=le_80afa0c0df103c81019c7b4a3dfca6c2&adults=2&children=none&pages=2
US,United States,city,Honolulu,https://luxuryescapes.com/search?destinationName=Honolulu&destinationId=le_8a146f1a3da4700cbf03cdc55e2daae6&adults=2&children=none&pages=2
IT,Italy,multi_city_vicinity,Rome,https://luxuryescapes.com/search?destinationName=Rome&destinationId=le_832d851fd4d8851affa0b77077f5b4d6&adults=2&children=none&pages=2
MY,Malaysia,province_state,Langkawi,https://luxuryescapes.com/search?destinationName=Langkawi&destinationId=le_2d405b367158e3f12d7c1e31a96b3af3&adults=2&children=none&pages=2
AU,Australia,high_level_region,Blue Mountains,https://luxuryescapes.com/search?destinationName=Blue+Mountains&destinationId=le_4371d2566cbf4eb16e1cda1ce268c63c&adults=2&children=none&pages=2
AU,Australia,city,Airlie Beach,https://luxuryescapes.com/search?destinationName=Airlie+Beach&destinationId=le_e5d100c6a4cfabdcbc5d6b9841de87d9&adults=2&children=none&pages=2
ID,Indonesia,high_level_region,Lombok,https://luxuryescapes.com/search?destinationName=Lombok&destinationId=le_0f34314d2dd0c1b9311cb8f40eb4f255&adults=2&children=none&pages=2
SG,Singapore,city,Singapore,https://luxuryescapes.com/search?destinationName=Singapore&destinationId=le_ce393994e8cf430867408678d1a5a9c8&adults=2&children=none&pages=2
VN,Vietnam,multi_city_vicinity,Hanoi,https://luxuryescapes.com/search?destinationName=Hanoi&destinationId=le_0663a4ddceacb40b095eda264a85f15c&adults=2&children=none&pages=2
AU,Australia,city,Darwin,https://luxuryescapes.com/search?destinationName=Darwin&destinationId=le_3f08f0e6992e8d712984a799e6681209&adults=2&children=none&pages=2
VN,Vietnam,city,Phu Quoc,https://luxuryescapes.com/search?destinationName=Phu+Quoc&destinationId=le_5634bafecadb32ba8347fc334940c115&adults=2&children=none&pages=2
NZ,New Zealand,multi_city_vicinity,Auckland,https://luxuryescapes.com/search?destinationName=Auckland&destinationId=le_464adf7b911508701f4c4e70eab19a6e&adults=2&children=none&pages=2
AU,Australia,neighborhood,Broadbeach,https://luxuryescapes.com/search?destinationName=Broadbeach&destinationId=le_0c1b1762276617d247b7d468efd1a6da&adults=2&children=none&pages=2
AU,Australia,province_state,Sunshine Coast Region,https://luxuryescapes.com/search?destinationName=Sunshine+Coast+Region&destinationId=le_b1046173ab29afd97535264003faaf7f&adults=2&children=none&pages=2
FR,France,country,France,https://luxuryescapes.com/search?destinationName=France&destinationId=le_093f65e080a295f8076b1c5722a46aa2&adults=2&children=none&pages=2
AU,Australia,neighborhood,Palm Cove,https://luxuryescapes.com/search?destinationName=Palm+Cove&destinationId=le_fc3cf953b111aab37fc37c64502b346a&adults=2&children=none&pages=2
ES,Spain,high_level_region,Mallorca Island,https://luxuryescapes.com/search?destinationName=Mallorca+Island&destinationId=le_6fc671d6a9900b46f5b5389ea2188e59&adults=2&children=none&pages=2
US,United States,multi_city_vicinity,Las Vegas,https://luxuryescapes.com/search?destinationName=Las+Vegas&destinationId=le_324d1d5faac07d0c5ae13c2213b84ea9&adults=2&children=none&pages=2
AU,Australia,neighborhood,Sydney Central Business District,https://luxuryescapes.com/search?destinationName=Sydney+Central+Business+District&destinationId=le_3b1b1222c9e8e9afa9d1ee10d6e80fc0&adults=2&children=none&pages=2
AU,Australia,province_state,Brisbane City,https://luxuryescapes.com/search?destinationName=Brisbane+City&destinationId=le_11e381f4d4acad450d06e096f3b99703&adults=2&children=none&pages=2
IN,India,province_state,Goa,https://luxuryescapes.com/search?destinationName=Goa&destinationId=le_ba1ceaceb2db0e0462679cfc4a6ae170&adults=2&children=none&pages=2
AU,Australia,neighborhood,Melbourne Central Business District,https://luxuryescapes.com/search?destinationName=Melbourne+Central+Business+District&destinationId=le_32530ba0f5faff63a2f1ccb9c1bc90fc&adults=2&children=none&pages=2
AU,Australia,neighborhood,Surfers Paradise,https://luxuryescapes.com/search?destinationName=Surfers+Paradise&destinationId=le_7bad3bd3f0f97b500e337b6dd91746ca&adults=2&children=none&pages=2
MY,Malaysia,province_state,Penang,https://luxuryescapes.com/search?destinationName=Penang&destinationId=le_045cf83ab0722e782cf72d14e44adf98&adults=2&children=none&pages=2
AU,Australia,city,Cairns,https://luxuryescapes.com/search?destinationName=Cairns&destinationId=le_55dddb74a8c2e96db33e4363b0a73b98&adults=2&children=none&pages=2
JP,Japan,multi_city_vicinity,Osaka,https://luxuryescapes.com/search?destinationName=Osaka&destinationId=le_dd6cfa36ca5f428a6c9824630d3a8a96&adults=2&children=none&pages=2
KR,South Korea,multi_city_vicinity,Seoul,https://luxuryescapes.com/search?destinationName=Seoul&destinationId=le_84254f05131de1561e62e5cf5153a3b9&adults=2&children=none&pages=2
TH,Thailand,city,Patong,https://luxuryescapes.com/search?destinationName=Patong&destinationId=le_0647bee49f75f9d4fd2e210cc44352eb&adults=2&children=none&pages=2
AU,Australia,city,Broome,https://luxuryescapes.com/search?destinationName=Broome&destinationId=le_83fba92646fd4b0c7d8995bf405214c8&adults=2&children=none&pages=2
US,United States,multi_city_vicinity,Los Angeles,https://luxuryescapes.com/search?destinationName=Los+Angeles&destinationId=le_079230e29195cac1ce62e737740797a0&adults=2&children=none&pages=2
ES,Spain,city,Barcelona,https://luxuryescapes.com/search?destinationName=Barcelona&destinationId=le_3dc4876f3f08201c7c76cb71fa1da439&adults=2&children=none&pages=2
GB,United Kingdom,province_state,England,https://luxuryescapes.com/search?destinationName=England&destinationId=le_568221292bd68ebdd821521ce60a8110&adults=2&children=none&pages=2
US,United States,neighborhood,Waikiki,https://luxuryescapes.com/search?destinationName=Waikiki&destinationId=le_21bf8d519b1e67cd0b9d4b50b55fccdd&adults=2&children=none&pages=2
AU,Australia,city,Sydney,https://luxuryescapes.com/search?destinationName=Sydney&destinationId=le_acf06cdd9c744f969958e1f085554c8b&adults=2&children=none&pages=2
AU,Australia,high_level_region,Mornington Peninsula,https://luxuryescapes.com/search?destinationName=Mornington+Peninsula&destinationId=le_77a4a0e5a3bdfee80c9eff1420165977&adults=2&children=none&pages=2
AU,Australia,city,Margaret River,https://luxuryescapes.com/search?destinationName=Margaret+River&destinationId=le_e4f9f1a6a6193f7100fc69a9abe3fc27&adults=2&children=none&pages=2
KR,South Korea,country,South Korea,https://luxuryescapes.com/search?destinationName=South+Korea&destinationId=le_f4b9ec30ad9f68f89b29639786cb62ef&adults=2&children=none&pages=2
ID,Indonesia,city,Lembongan Island,https://luxuryescapes.com/search?destinationName=Lembongan+Island&destinationId=le_66339aeaeac3d911af379044c9624005&adults=2&children=none&pages=2
CA,Canada,country,Canada,https://luxuryescapes.com/search?destinationName=Canada&destinationId=le_c16a5320fa475530d9583c34fd356ef5&adults=2&children=none&pages=2
ZA,South Africa,country,South Africa,https://luxuryescapes.com/search?destinationName=South+Africa&destinationId=le_9766527f2b5d3e95d4a733fcfb77bd7e&adults=2&children=none&pages=2
TH,Thailand,city,Chiang Mai,https://luxuryescapes.com/search?destinationName=Chiang+Mai&destinationId=le_f964e87e2c42208253412904eec37214&adults=2&children=none&pages=2
ID,Indonesia,city,Kuta,https://luxuryescapes.com/search?destinationName=Kuta&destinationId=le_82039d16dce0aab3913b6a7ac73deff7&adults=2&children=none&pages=2
NL,Netherlands,multi_city_vicinity,Amsterdam,https://luxuryescapes.com/search?destinationName=Amsterdam&destinationId=le_0a4703b5ee768403d6cf1f04b768def7&adults=2&children=none&pages=2
JP,Japan,multi_city_vicinity,Kyoto,https://luxuryescapes.com/search?destinationName=Kyoto&destinationId=le_c98e367e46aa4e7c4d6823b021865936&adults=2&children=none&pages=2
IT,Italy,province_state,Sardinia,https://luxuryescapes.com/search?destinationName=Sardinia&destinationId=le_a1f2f70f31cf6916b600f2a558c4f082&adults=2&children=none&pages=2
AE,United Arab Emirates,province_state,Abu Dhabi,https://luxuryescapes.com/search?destinationName=Abu+Dhabi&destinationId=le_d70ec56c179703547be2381e3bc1938e&adults=2&children=none&pages=2
TH,Thailand,city,Hua Hin,https://luxuryescapes.com/search?destinationName=Hua+Hin&destinationId=le_2e7c768f8f48b4d6de838814d789b0bb&adults=2&children=none&pages=2
IT,Italy,province_state,Sicily,https://luxuryescapes.com/search?destinationName=Sicily&destinationId=le_7409387f1ebd52e28e7cf147dc22cb6e&adults=2&children=none&pages=2
QA,Qatar,multi_city_vicinity,Doha,https://luxuryescapes.com/search?destinationName=Doha&destinationId=le_7cce53cf90577442771720a370c3c723&adults=2&children=none&pages=2
GB,United Kingdom,multi_city_vicinity,Edinburgh,https://luxuryescapes.com/search?destinationName=Edinburgh&destinationId=le_f01722cf0682667d18119b2cdef492ad&adults=2&children=none&pages=2
US,United States,high_level_region,Maui,https://luxuryescapes.com/search?destinationName=Maui&destinationId=le_4c3b14ba89e6289b61eb1bb344e2c2cf&adults=2&children=none&pages=2
AU,Australia,city,Newcastle,https://luxuryescapes.com/search?destinationName=Newcastle&destinationId=le_373ef50ce9c3f96bdd8b2f6e7e839b50&adults=2&children=none&pages=2
SG,Singapore,high_level_region,Sentosa Island,https://luxuryescapes.com/search?destinationName=Sentosa+Island&destinationId=le_e049cdf2bfe4dd1d825ada227d1479f2&adults=2&children=none&pages=2
AU,Australia,neighborhood,Noosa Heads,https://luxuryescapes.com/search?destinationName=Noosa+Heads&destinationId=le_e66c5f547fc000b0e4894e2b7833df92&adults=2&children=none&pages=2
AU,Australia,province_state,Port Stephens,https://luxuryescapes.com/search?destinationName=Port+Stephens&destinationId=le_5186b5eb83798a2a7a0bec02e7e95c5d&adults=2&children=none&pages=2
AU,Australia,high_level_region,Barossa Valley,https://luxuryescapes.com/search?destinationName=Barossa+Valley&destinationId=le_05c690755465e8723c8d9ee8d5b6f486&adults=2&children=none&pages=2
PH,Philippines,city,Boracay Island,https://luxuryescapes.com/search?destinationName=Boracay+Island&destinationId=le_a8b9081f7c011f43e2259f9c457a1d37&adults=2&children=none&pages=2
IT,Italy,city,Florence,https://luxuryescapes.com/search?destinationName=Florence&destinationId=le_3a029f04d76d32e79367c4b3255dda4d&adults=2&children=none&pages=2
CN,China,country,China,https://luxuryescapes.com/search?destinationName=China&destinationId=le_a5bfc9e07964f8dddeb95fc584cd965d&adults=2&children=none&pages=2
IT,Italy,multi_city_vicinity,Venice,https://luxuryescapes.com/search?destinationName=Venice&destinationId=le_2e378cea7a9a763222e0482db0dc9ee7&adults=2&children=none&pages=2
ES,Spain,multi_city_vicinity,Madrid,https://luxuryescapes.com/search?destinationName=Madrid&destinationId=le_cd18715c3998f5e305b948ffc72cf765&adults=2&children=none&pages=2
AU,Australia,high_level_region,Kangaroo Island,https://luxuryescapes.com/search?destinationName=Kangaroo+Island&destinationId=le_d66949480296c2957d4541919879f361&adults=2&children=none&pages=2
IT,Italy,multi_city_vicinity,Milan,https://luxuryescapes.com/search?destinationName=Milan&destinationId=le_23885a3e3ba46d857b6f99febf598019&adults=2&children=none&pages=2
ID,Indonesia,city,Jimbaran,https://luxuryescapes.com/search?destinationName=Jimbaran&destinationId=le_808ace92242c99f7e4aa4672c45e2138&adults=2&children=none&pages=2
